libevent 2.0.22-1
libexif 0.6.21-2
libfbclient 2.5.3.26778-1
libffi 3.2.1-1
libfontenc 1.1.2-1
libgcrypt 1.6.2-1
libgcrypt15 1.5.4-3
libgksu 2.0.12-6
libglade 2.6.4-5
libgnome-keyring 3.12.0-2
libgpg-error 1.18-1
libgtop 2.30.0-1
libguess 1.2-1
libgusb 0.2.4-1
libgxps 0.2.2-3
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.29-1
libimobiledevice 1.1.7-1
libiscsi 1.13.0-1
libjpeg-turbo 1.4.0-1
libkate 0.4.1-5
libksba 1.3.2-1
libldap 2.4.40-2
liblqr 0.4.2-1
libmad 0.15.1b-7
libmariadbclient 10.0.16-1
libmatekbd 1.8.0-1
libmateweather 1.8.0-1
libmatroska 1.4.2-1
libmm-glib 1.4.4-1
libmng 2.0.2-3
libmodplug 0.8.8.5-1
libmpc 1.0.2-2
libmpcdec 1.2.6-4
libmpeg2 0.5.1-5
libmspub 0.1.2-1
libmwaw 0.3.4-1
libndp 1.4-1
libnet 1.1.6-2
libnewt 0.52.17-2
libnl 3.2.25-1
libnm-glib 1.0.0-2
libnm-gtk 1.0.0-1
libnotify 0.7.6-1
libodfgen 0.1.3-1
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libpagemaker 0.0.2-1
libpaper 1.1.24-7
libpcap 1.6.2-1
libpciaccess 0.13.3-1
libpeas 1.12.1-1
libpipeline 1.4.0-1
libplist 1.11-1
libpng 1.6.16-1
libproxy 0.4.11-4
libpulse 6.0-1
libreoffice-fresh 4.4.0-2
librevenge 0.0.2-1
librsvg 1:2.40.6-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.1.1-1
libsecret 0.18-1
libshout 1:2.3.1-2
libsigc++ 2.4.0-1
libsm 1.2.2-2
libsndfile 1.0.25-3
libsoup 2.48.1-1
libspectre 0.2.7-2
libspiro 1:0.3.20150131-1
libssh 0.6.4-1
libssh2 1.4.3-2
libsystemd 218-2
libtar 1.2.20-2
libtasn1 4.2-1
libteam 1.14-1
libthai 0.1.21-1
